game_id,fga_home,fg3a_home,fta_home,oreb_home,ast_home,blk_home,pts_home,fga_away,fg3a_away,fta_away,oreb_away,ast_away,tov_away,pts_away,season
21800638,86,31,30,7,24,5,105,87,20,30,12,22,17,108,33
41300175,91,25,18,14,23,8,108,83,25,23,9,14,11,98,28
21900539,81,30,22,8,21,3,104,89,26,14,12,31,11,115,34
28700660,87,0,31,10,28,10,116,106,11,32,19,23,16,114,2
29201036,79,9,32,9,38,5,113,86,14,17,13,34,17,110,7
29700012,78,29,37,11,27,9,104,84,7,33,20,16,16,87,12
21301015,86,27,27,10,27,5,118,95,26,19,12,22,13,109,28
28700150,88,2,27,10,27,8,88,80,3,25,20,22,27,85,2
22200135,90,27,16,12,22,4,118,88,51,12,8,30,13,133,37
20000257,76,6,16,9,25,9,98,74,13,28,11,16,14,84,15
21400474,82,28,27,8,38,11,126,86,20,23,18,16,28,86,29
20700428,72,25,28,15,11,4,73,84,16,14,10,16,8,83,22
22200300,91,31,27,7,31,5,142,84,27,42,15,20,18,127,37
22101157,84,34,29,12,24,8,101,94,48,18,8,29,8,110,36
29600500,92,16,22,21,30,7,111,80,14,14,9,20,16,93,11
42200142,85,22,25,9,26,1,122,79,31,23,9,24,13,113,37
20100864,74,11,18,6,23,0,92,74,11,28,10,14,17,86,16
22100082,86,38,19,5,24,6,122,95,22,19,20,24,19,94,36
20000702,83,13,16,9,22,3,85,75,10,26,10,19,18,83,15
21501058,80,24,25,9,30,5,118,98,25,19,17,24,6,102,30
29500754,78,15,29,13,19,11,94,82,18,33,13,21,15,100,10
20700400,76,19,38,17,7,0,90,85,26,20,8,18,8,95,22
48700010,88,4,41,25,21,2,102,70,0,39,9,13,14,101,2
29600347,70,8,51,15,13,3,112,79,14,37,19,24,13,105,11
22200521,87,45,27,10,22,3,112,91,46,26,10,26,12,107,37
21000355,70,14,38,8,17,9,96,67,13,34,10,14,12,84,25
21000138,85,18,31,10,21,5,116,82,9,24,8,13,15,93,25
49700083,85,8,15,9,23,3,88,82,16,16,9,14,14,85,12
21900244,85,30,23,11,20,4,103,79,47,15,8,28,17,102,34
29000279,93,2,39,20,36,8,128,92,4,14,16,23,18,88,5
22100578,90,36,15,11,23,1,108,80,45,13,8,22,13,105,36
29100267,105,5,23,23,18,9,105,90,10,38,23,17,16,103,6
29100150,86,3,23,8,22,4,90,83,7,21,11,25,18,99,6
29400980,92,16,49,22,22,5,128,89,26,23,13,27,14,125,9
22000209,84,31,21,7,26,5,125,105,38,24,11,21,6,123,35
29900692,89,4,20,13,20,5,116,83,22,31,7,14,9,100,14
21700729,96,21,26,16,20,7,111,82,30,15,11,22,16,97,32
29500011,89,12,31,14,22,6,97,89,12,23,15,16,17,103,10
29100617,84,7,31,15,22,11,100,97,10,24,23,25,9,98,6
29300322,89,10,22,15,20,4,86,78,22,24,15,23,19,87,8
20200796,70,13,33,9,24,7,105,79,16,26,14,18,17,96,17
20800360,81,13,43,11,22,10,110,91,15,19,11,27,10,101,23
21301207,79,30,23,5,27,3,93,80,25,31,12,27,10,95,28
20600467,90,19,17,15,21,4,98,80,25,18,7,29,21,100,21
20200845,70,12,42,9,19,5,101,85,16,15,12,16,18,93,17
28800054,105,2,24,16,33,11,121,86,8,21,16,19,23,96,3
21400849,74,25,19,6,26,6,102,92,21,15,8,13,12,96,29
20101065,72,9,33,10,21,10,98,70,7,25,9,27,28,90,16
29900374,86,25,19,12,30,6,110,85,16,20,18,26,19,111,14
20301127,84,10,35,16,31,4,116,84,26,38,18,21,14,107,18
28900675,93,8,28,24,17,1,88,86,8,27,17,29,14,111,4
20901040,76,19,29,11,25,2,104,78,11,17,10,21,12,79,24
21501080,88,45,23,7,30,10,128,96,35,21,15,31,11,120,30
28500121,100,0,19,20,32,3,111,82,3,20,10,31,18,109,0
20601095,85,12,29,17,28,6,107,82,18,21,7,21,13,94,21
28700682,97,1,34,25,26,3,107,81,2,18,10,30,18,109,2
29201082,81,8,43,12,28,6,116,81,18,45,15,20,10,119,7
21100591,78,30,32,9,22,3,108,84,27,24,9,20,10,120,26
21901307,87,35,19,9,33,3,111,85,37,23,6,29,8,124,34
21900737,94,31,24,11,33,2,128,96,32,22,14,30,10,123,34
29700946,76,18,35,15,14,7,96,86,13,33,19,20,13,104,12
29500254,78,14,27,15,30,11,103,92,8,15,10,27,10,98,10
29200294,76,2,38,17,22,8,104,80,2,29,12,16,17,98,7
22100077,84,27,10,11,24,6,113,87,34,22,16,28,15,101,36
28600696,99,1,12,14,43,2,137,94,7,25,16,25,13,111,1
29300587,83,15,24,12,21,4,95,89,4,21,22,24,16,102,8
22200651,91,41,19,14,24,7,102,90,31,26,11,21,9,112,37
22000923,83,44,21,8,29,4,105,95,57,19,16,24,11,104,35
